{disease_id}	{index}
OMIM:117900	318
OMIM:118000	319
OMIM:118005	320
OMIM:118100	321
OMIM:118200	322
OMIM:118210	323
OMIM:118220	324
OMIM:118230	325
OMIM:118300	326
OMIM:118301	327
OMIM:118330	328
OMIM:118350	329
OMIM:118400	330
OMIM:118420	331
OMIM:118430	332
OMIM:118450	333
OMIM:118600	334
OMIM:118610	335
OMIM:118650	336
OMIM:118651	337
OMIM:118670	338
OMIM:118700	339
OMIM:118750	340
OMIM:118800	341
OMIM:118830	342
OMIM:118840	343
OMIM:118865	344
OMIM:118900	345
OMIM:118943	346
OMIM:118980	347
OMIM:119000	348
OMIM:119100	349
OMIM:119300	350
OMIM:119500	351
OMIM:119530	352
OMIM:119540	353
OMIM:119550	354
OMIM:119570	355
OMIM:119580	356
OMIM:119600	357
OMIM:119650	358
OMIM:119800	359
OMIM:119900	360
OMIM:119915	361
OMIM:120000	362
OMIM:120040	363
OMIM:120050	364
OMIM:120080	365
OMIM:120100	366
OMIM:120200	367
OMIM:120300	368
OMIM:120330	369
OMIM:120400	370
OMIM:120430	371
OMIM:120433	372
OMIM:120435	373
OMIM:120440	374
OMIM:120450	375
OMIM:120500	376
OMIM:120502	377
OMIM:120790	378
OMIM:120970	379
OMIM:121050	380
OMIM:121070	381
OMIM:121200	382
OMIM:121201	383
OMIM:121210	384
OMIM:121270	385
OMIM:121300	386
OMIM:121350	387
OMIM:121390	388
OMIM:121400	389
OMIM:121450	390
OMIM:121800	391
OMIM:121820	392
OMIM:121850	393
OMIM:121900	394
OMIM:122000	395
OMIM:122100	396
OMIM:122200	397
OMIM:122400	398
OMIM:122430	399
OMIM:122440	400
OMIM:122450	401
OMIM:122455	402
OMIM:122460	403
OMIM:122470	404
OMIM:122550	405
OMIM:122580	406
OMIM:122600	407
OMIM:122700	408
OMIM:122750	409
OMIM:122780	410
OMIM:122850	411
OMIM:122860	412
OMIM:122880	413
OMIM:122900	414
OMIM:123000	415
OMIM:123050	416
OMIM:123100	417
OMIM:123150	418
OMIM:123155	419
OMIM:123270	420
OMIM:123320	421
OMIM:123400	422
OMIM:123450	423
OMIM:123500	424
OMIM:123540	425
OMIM:123550	426
OMIM:123557	427
OMIM:123560	428
OMIM:123570	429
OMIM:123700	430
OMIM:123790	431
OMIM:123853	432
OMIM:123880	433
OMIM:123997	434
OMIM:124000	435
OMIM:124100	436
OMIM:124200	437
OMIM:124300	438
OMIM:124400	439
OMIM:124480	440
OMIM:124490	441
OMIM:124500	442
OMIM:124700	443
OMIM:124900	444
OMIM:124950	445
OMIM:125000	446
OMIM:125050	447
OMIM:125230	448
OMIM:125250	449
OMIM:125260	450
OMIM:125280	451
OMIM:125300	452
OMIM:125310	453
OMIM:125320	454
OMIM:125350	455
OMIM:125370	456
OMIM:125400	457
OMIM:125420	458
OMIM:125440	459
OMIM:125460	460
OMIM:125480	461
OMIM:125490	462
OMIM:125500	463
OMIM:125520	464
OMIM:125530	465
OMIM:125540	466
OMIM:125550	467
OMIM:125570	468
OMIM:125580	469
OMIM:125590	470
OMIM:125595	471
OMIM:125600	472
OMIM:125630	473
OMIM:125635	474
OMIM:125640	475
OMIM:125700	476
OMIM:125800	477
OMIM:125850	478
OMIM:125851	479
OMIM:125852	480
OMIM:125853	481
OMIM:125890	482
OMIM:125900	483
OMIM:126050	484
OMIM:126070	485
OMIM:126100	486
OMIM:126180	487
OMIM:126190	488
OMIM:126200	489
OMIM:126250	490
OMIM:126300	491
OMIM:126320	492
OMIM:126370	493
OMIM:126390	494
OMIM:126410	495
OMIM:126500	496
OMIM:126550	497
OMIM:126600	498
OMIM:126700	499
OMIM:126800	500
OMIM:126840	501
OMIM:126850	502
OMIM:126900	503
OMIM:126950	504
OMIM:127000	505
OMIM:127100	506
OMIM:127200	507
OMIM:127300	508
OMIM:127350	509
OMIM:127400	510
OMIM:127500	511
OMIM:127550	512
OMIM:127600	513
OMIM:127700	514
OMIM:127750	515
OMIM:127800	516
OMIM:127820	517
OMIM:128000	518
OMIM:128100	519
OMIM:128101	520
OMIM:128200	521
OMIM:128230	522
OMIM:128235	523
OMIM:128290	524
OMIM:128300	525
OMIM:128400	526
OMIM:128500	527
OMIM:128600	528
OMIM:128700	529
OMIM:128710	530
OMIM:128800	531
OMIM:128900	532
OMIM:128950	533
OMIM:128980	534
OMIM:129000	535
OMIM:129100	536
OMIM:129150	537
OMIM:129200	538
OMIM:129400	539
OMIM:129490	540
OMIM:129500	541
OMIM:129510	542
OMIM:129540	543
OMIM:129550	544
OMIM:129600	545
OMIM:129750	546
OMIM:129810	547
OMIM:129830	548
OMIM:129840	549
OMIM:129850	550
OMIM:129900	551
OMIM:129905	552
OMIM:130000	553
OMIM:130010	554
OMIM:130020	555
OMIM:130050	556
OMIM:130060	557
OMIM:130070	558
OMIM:130080	559
OMIM:130090	560
OMIM:130100	561
OMIM:130180	562
OMIM:130190	563
OMIM:130200	564
OMIM:130300	565
OMIM:130400	566
OMIM:130600	567
OMIM:130650	568
OMIM:130700	569
OMIM:130710	570
OMIM:130720	571
OMIM:130900	572
OMIM:130950	573
OMIM:131100	574
OMIM:131200	575
OMIM:131300	576
OMIM:131375	577
OMIM:131400	578
OMIM:131430	579
OMIM:131440	580
OMIM:131450	581
OMIM:131460	582
OMIM:131500	583
OMIM:131600	584
OMIM:131705	585
OMIM:131750	586
OMIM:131760	587
OMIM:131800	588
OMIM:131850	589
OMIM:131880	590
OMIM:131900	591
OMIM:131950	592
